#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
880000,163700.00007643836,723.0634692042009,284.93410343341037,2744.0,0.020207834563842144,6.56e+03
900000,163800.0000765315,822.4566746142943,311.57232712942283,2744.0,0.020207834563842144,6.56e+03
920000,163900.00007662462,895.0828167260967,302.8246731354641,2744.0,0.020207834563842144,6.55e+03
940000,164000.00007671776,834.2030799229505,302.3425801938599,2744.0,0.020207834563842144,6.55e+03
960000,164100.0000768109,847.1835541686478,327.39262048084566,2744.0,0.020207834563842144,6.55e+03
980000,164200.00007690402,824.9018155623671,307.3507987636524,2744.0,0.020207834563842144,6.55e+03
1000000,164300.00007699715,970.7496727876353,311.8143618305707,2744.0,0.020207834563842144,6.54e+03
1020000,164400.00007709028,886.6026265211916,305.9644205330575,2744.0,0.020207834563842144,6.54e+03
1040000,164500.00007718342,942.7572142232362,269.36949815748767,2744.0,0.020207834563842144,6.54e+03
1060000,164600.00007727655,859.2549148439141,309.5632215066415,2744.0,0.020207834563842144,6.53e+03
1080000,164700.00007736968,848.2227832407059,304.618271282577,2744.0,0.020207834563842144,6.53e+03
1100000,164800.0000774628,851.3766038522338,315.43013428906363,2744.0,0.020207834563842144,6.52e+03
1120000,164900.00007755595,853.6118644251912,321.4417023711927,2744.0,0.020207834563842144,6.52e+03
1140000,165000.00007764908,955.504567287189,302.3996478330547,2744.0,0.020207834563842144,6.51e+03
1160000,165100.0000777422,922.9213822195157,301.7313753870522,2744.0,0.020207834563842144,6.51e+03
1180000,165200.00007783534,924.5142804008059,307.08433270550074,2744.0,0.020207834563842144,6.5e+03
1200000,165300.00007792847,825.1087477625063,279.71002122644103,2744.0,0.020207834563842144,6.5e+03
1220000,165400.0000780216,945.8904347589071,318.1116172577445,2744.0,0.020207834563842144,6.5e+03
1240000,165500.00007811474,878.9746535048453,311.23495421274856,2744.0,0.020207834563842144,6.5e+03
1260000,165600.00007820787,857.512044321435,288.5121337384861,2744.0,0.020207834563842144,6.49e+03
1280000,165700.000078301,813.6050914749044,301.30604657665435,2744.0,0.020207834563842144,6.49e+03
1300000,165800.00007839414,771.2267408567212,315.3689536436349,2744.0,0.020207834563842144,6.49e+03
1320000,165900.00007848727,999.4187613213971,314.51926293740826,2744.0,0.020207834563842144,6.49e+03
1340000,166000.0000785804,11774.300080439822,2278.06424881653,2744.0,0.020207834563842144,6.49e+03
1360000,166100.00007867353,917.766241107503,293.5983640767703,2744.0,0.020207834563842144,6.49e+03
1380000,166200.00007876666,731.4368615075039,296.98156988169194,2744.0,0.020207834563842144,6.48e+03
1400000,166300.0000788598,850.6775672268261,294.66813657593815,2744.0,0.020207834563842144,6.48e+03
1420000,166400.00007895293,902.2933223102082,294.2065718838272,2744.0,0.020207834563842144,6.48e+03
1440000,166500.00007904606,988.7456992334108,311.00861603773393,2744.0,0.020207834563842144,6.48e+03
1460000,166600.0000791392,856.8434485420689,295.6265877319813,2744.0,0.020207834563842144,6.47e+03
1480000,166700.00007923233,908.382321720122,305.86023957276444,2744.0,0.020207834563842144,6.47e+03
1500000,166800.00007932546,915.4597705127167,312.16541658412405,2744.0,0.020207834563842144,6.47e+03
1520000,166900.0000794186,858.668536082,296.83486255523354,2744.0,0.020207834563842144,6.47e+03
1540000,167000.00007951172,852.4445578322836,307.5848033199306,2744.0,0.020207834563842144,6.46e+03
1560000,167100.00007960486,972.3913668350173,291.00560945840505,2744.0,0.020207834563842144,6.46e+03
1580000,167200.000079698,799.5019658413087,313.24064363090025,2744.0,0.020207834563842144,6.46e+03
1600000,167300.00007979112,835.1141306336219,335.67611828933013,2744.0,0.020207834563842144,6.46e+03
1620000,167400.00007988425,864.2952425511413,292.8592125195764,2744.0,0.020207834563842144,6.46e+03
1640000,167500.00007997738,869.8203664141963,295.75496032681554,2744.0,0.020207834563842144,6.46e+03
