#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
3060000,34000.00000153675,896.7633472268423,295.5546314288647,2744.0,0.020207834563842144,6.43e+03
3080000,34100.00000148436,1880.4962822813204,1341.8133488856568,2744.0,0.020207834563842144,6.43e+03
3100000,34200.000001431974,912.7031149796542,318.2800966625809,2744.0,0.020207834563842144,6.43e+03
3120000,34300.00000137959,913.5531316951052,306.3332089392458,2744.0,0.020207834563842144,6.43e+03
3140000,34400.0000013272,745.1144813298837,297.6056056368424,2744.0,0.020207834563842144,6.43e+03
3160000,34500.00000127481,897.9041257008162,295.1385530245587,2744.0,0.020207834563842144,6.43e+03
3180000,34600.00000122243,837.9077251757195,301.6157688712183,2744.0,0.020207834563842144,6.43e+03
3200000,34700.00000117004,899.4450118311418,304.14219803077435,2744.0,0.020207834563842144,6.43e+03
3220000,34800.00000111765,829.8728185729361,298.2635774511803,2744.0,0.020207834563842144,6.43e+03
3240000,34900.000001065266,776.3609760070872,303.15640217702975,2744.0,0.020207834563842144,6.43e+03
3260000,35000.00000101288,958.6662611453296,318.54379022106195,2744.0,0.020207834563842144,6.42e+03
3280000,35100.00000096049,857.4157762899093,314.29957718565447,2744.0,0.020207834563842144,6.42e+03
3300000,35200.000000908105,936.3527929876288,296.1343774983044,2744.0,0.020207834563842144,6.42e+03
3320000,35300.00000085572,859.5515593194482,309.5128685306004,2744.0,0.020207834563842144,6.42e+03
3340000,35400.00000080333,895.1173818517877,285.0499708656868,2744.0,0.020207834563842144,6.42e+03
3360000,35500.000000750944,852.8865416793637,290.0598261507487,2744.0,0.020207834563842144,6.42e+03
3380000,35600.00000069856,798.129862226813,302.6055931942033,2744.0,0.020207834563842144,6.42e+03
3400000,35700.00000064617,850.2163859187133,284.39586523993887,2744.0,0.020207834563842144,6.42e+03
3420000,35800.00000059378,919.1891010452598,283.87538251000507,2744.0,0.020207834563842144,6.42e+03
3440000,35900.0000005414,889.1992298159307,302.75289403444435,2744.0,0.020207834563842144,6.42e+03
3460000,36000.00000048901,785.6059275352928,275.7646466851502,2744.0,0.020207834563842144,6.42e+03
3480000,36100.00000043662,881.516675833999,302.71245393031717,2744.0,0.020207834563842144,6.42e+03
3500000,36200.000000384236,886.9063619188084,298.9183756739756,2744.0,0.020207834563842144,6.41e+03
3520000,36300.00000033185,804.2356272291913,321.100339538314,2744.0,0.020207834563842144,6.41e+03
3540000,36400.00000027946,840.1269780257153,297.26397186982865,2744.0,0.020207834563842144,6.41e+03
3560000,36500.000000227075,897.1642567769071,297.9860088066666,2744.0,0.020207834563842144,6.41e+03
3580000,36600.00000017469,997.0611691322764,316.85901026337933,2744.0,0.020207834563842144,6.41e+03
3600000,36700.0000001223,746.1602806600079,295.88430005908094,2744.0,0.020207834563842144,6.41e+03
3620000,36800.000000069915,803.4569947803961,305.0821154767536,2744.0,0.020207834563842144,6.41e+03
3640000,36900.00000001753,906.4235153480099,310.2929069716288,2744.0,0.020207834563842144,6.41e+03
3660000,36999.99999996514,918.4439088197371,287.5895319373551,2744.0,0.020207834563842144,6.41e+03
3680000,37099.999999912754,973.237855658244,293.81505568668223,2744.0,0.020207834563842144,6.41e+03
3700000,37199.99999986037,865.9398572696819,299.9011706497462,2744.0,0.020207834563842144,6.41e+03
3720000,37299.99999980798,858.0475677590414,284.9322506078733,2744.0,0.020207834563842144,6.41e+03
3740000,37399.99999975559,924.9174440275401,288.3146092547021,2744.0,0.020207834563842144,6.4e+03
3760000,37499.99999970321,870.102205607685,308.0598591404507,2744.0,0.020207834563842144,6.4e+03
3780000,37599.99999965082,868.0109419329265,293.3101439799582,2744.0,0.020207834563842144,6.4e+03
3800000,37699.99999959843,859.1800579181611,305.42246506909237,2744.0,0.020207834563842144,6.4e+03
3820000,37799.999999546046,824.4434464701008,317.8524990638702,2744.0,0.020207834563842144,6.4e+03
3840000,37899.99999949366,778.3337079865929,307.9116150469025,2744.0,0.020207834563842144,6.4e+03
3860000,37999.99999944127,900.2027703426367,299.3650189576179,2744.0,0.020207834563842144,6.4e+03
3880000,38099.999999388885,854.0006730723833,296.87770590606516,2744.0,0.020207834563842144,6.4e+03
3900000,38199.9999993365,804.1408184988,299.8340371003213,2744.0,0.020207834563842144,6.4e+03
3920000,38299.99999928411,843.3680645237364,310.31353219052005,2744.0,0.020207834563842144,6.4e+03
3940000,38399.999999231724,931.4516691523283,308.6916067959577,2744.0,0.020207834563842144,6.4e+03
3960000,38499.99999917934,838.6106498439599,311.5108540218474,2744.0,0.020207834563842144,6.4e+03
3980000,38599.99999912695,825.7145158553988,313.7606351962496,2744.0,0.020207834563842144,6.4e+03
4000000,38699.999999074564,816.8874964186675,295.6184339038803,2744.0,0.020207834563842144,6.4e+03
4020000,38799.99999902218,885.5829895210047,308.3290742801102,2744.0,0.020207834563842144,6.4e+03
4040000,38899.99999896979,837.0802367903834,303.0860260642622,2744.0,0.020207834563842144,6.4e+03
4060000,38999.9999989174,987.9859518973376,299.0960783944571,2744.0,0.020207834563842144,6.4e+03
4080000,39099.999998865016,887.1030615816431,338.2006096330394,2744.0,0.020207834563842144,6.4e+03
4100000,39199.99999881263,798.7428089279595,327.4385305382636,2744.0,0.020207834563842144,6.4e+03
4120000,39299.99999876024,790.2642609539307,313.12125110993185,2744.0,0.020207834563842144,6.4e+03
4140000,39399.999998707855,726.1968023777724,325.87258560109234,2744.0,0.020207834563842144,6.4e+03
4160000,39499.99999865547,935.5134435062251,290.6618760220143,2744.0,0.020207834563842144,6.4e+03
4180000,39599.99999860308,1002.8680796171648,296.1057473734154,2744.0,0.020207834563842144,6.4e+03
4200000,39699.999998550695,886.5701012412425,283.0351487405138,2744.0,0.020207834563842144,6.4e+03
4220000,39799.99999849831,821.1034259372432,309.60884363865347,2744.0,0.020207834563842144,6.4e+03
4240000,39899.99999844592,966.0020513631484,319.5244032694185,2744.0,0.020207834563842144,6.4e+03
4260000,39999.999998393534,860.8902137883927,278.7462530264484,2744.0,0.020207834563842144,6.4e+03
4280000,40099.99999834115,981.0561703236608,285.5604165992682,2744.0,0.020207834563842144,6.4e+03
4300000,40199.99999828876,972.9956832648131,322.70568883397954,2744.0,0.020207834563842144,6.4e+03
4320000,40299.99999823637,962.3262005408174,315.8355086769842,2744.0,0.020207834563842144,6.4e+03
4340000,40399.99999818399,847.2952421409532,282.70091167217976,2744.0,0.020207834563842144,6.4e+03
4360000,40499.9999981316,858.7868221350685,289.74704792959795,2744.0,0.020207834563842144,6.4e+03
